kalshi_ticker,poly_slug,date,poly_result,kalshi_result,poly_price,matching
KXNHLGAME-25OCT09CHIBOS-CHI,,,,no,,0
KXNHLGAME-25OCT09CHIBOS-BOS,,,,yes,,0
KXNHLGAME-26JAN17BOSCHI-CHI,nhl-bos-chi-2026-01-17,2025-12-21T16:31:36.851567Z,yes,no,0.999,0
KXNHLGAME-26JAN17BOSCHI-BOS,nhl-bos-chi-2026-01-17,2025-12-21T16:31:36.851567Z,yes,yes,0.999,1
KXNHLGAME-25OCT18BOSCOL-COL,nhl-bos-col-2025-10-18,2025-10-07T22:11:28.797976Z,yes,yes,1.0,1
KXNHLGAME-25OCT18BOSCOL-BOS,nhl-bos-col-2025-10-18,2025-10-07T22:11:28.797976Z,yes,no,1.0,0
KXNHLGAME-25OCT25COLBOS-COL,,,,no,,0
KXNHLGAME-25OCT25COLBOS-BOS,,,,yes,,0
KXNHLGAME-26JAN20BOSDAL-DAL,nhl-bos-dal-2026-01-20,2025-12-24T16:31:28.476506Z,no,yes,0.001,0
KXNHLGAME-26JAN20BOSDAL-BOS,nhl-bos-dal-2026-01-20,2025-12-24T16:31:28.476506Z,no,no,0.001,1
KXNHLGAME-25NOV29DETBOS-DET,,,,no,,0
KXNHLGAME-25NOV29DETBOS-BOS,,,,yes,,0
KXNHLGAME-25DEC02BOSDET-DET,nhl-bos-det-2025-12-02,2025-11-05T16:31:21.58101Z,yes,yes,1.0,1
KXNHLGAME-25DEC02BOSDET-BOS,nhl-bos-det-2025-12-02,2025-11-05T16:31:21.58101Z,yes,no,1.0,0
KXNHLGAME-26JAN13DETBOS-DET,,,,no,,0
KXNHLGAME-26JAN13DETBOS-BOS,,,,yes,,0
KXNHLGAME-25DEC18EDMBOS-EDM,,,,yes,,0
KXNHLGAME-25DEC18EDMBOS-BOS,,,,no,,0
KXNHLGAME-25DEC31BOSEDM-EDM,nhl-bos-edm-2025-12-31,2025-12-04T16:31:29.073369Z,yes,no,1.0,0
KXNHLGAME-25DEC31BOSEDM-BOS,nhl-bos-edm-2025-12-31,2025-12-04T16:31:29.073369Z,yes,yes,1.0,1
KXNHLGAME-25OCT21FLABOS-FLA,,,,yes,,0
KXNHLGAME-25OCT21FLABOS-BOS,,,,no,,0
KXNHLGAME-26FEB04BOSFLA-FLA,nhl-bos-fla-2026-02-04,2026-01-08T16:31:33.651529Z,no,yes,0.001,0
KXNHLGAME-26FEB04BOSFLA-BOS,nhl-bos-fla-2026-02-04,2026-01-08T16:31:33.651529Z,no,no,0.001,1
KXNHLGAME-25NOV21BOSLA-LA,,,,no,,0
KXNHLGAME-25NOV21BOSLA-BOS,,,,yes,,0
KXNHLGAME-25DEC14BOSMIN-MIN,nhl-bos-min-2025-12-14,2025-11-17T16:31:18.16363Z,yes,yes,1.0,1
KXNHLGAME-25DEC14BOSMIN-BOS,nhl-bos-min-2025-12-14,2025-11-17T16:31:18.16363Z,yes,no,1.0,0
KXNHLGAME-25NOV15BOSMTL-MTL,nhl-bos-mon-2025-11-15,2025-10-19T15:31:15.360392Z,yes,no,1.0,0
KXNHLGAME-25NOV15BOSMTL-BOS,nhl-bos-mon-2025-11-15,2025-10-19T15:31:15.360392Z,yes,yes,1.0,1
KXNHLGAME-25DEC23MTLBOS-MTL,,,,yes,,0
KXNHLGAME-25DEC23MTLBOS-BOS,,,,no,,0
KXNHLGAME-26JAN24MTLBOS-MTL,,,,no,,0
KXNHLGAME-26JAN24MTLBOS-BOS,,,,yes,,0
KXNHLGAME-25DEC06NJBOS-NJ,,,,no,,0
KXNHLGAME-25DEC06NJBOS-BOS,,,,yes,,0
KXNHLGAME-26JAN27NSHBOS-NSH,,,,no,,0
KXNHLGAME-26JAN27NSHBOS-BOS,,,,yes,,0
KXNHLGAME-25OCT28NYIBOS-NYI,,,,no,,0
KXNHLGAME-25OCT28NYIBOS-BOS,,,,yes,,0
KXNHLGAME-25NOV04BOSNYI-NYI,nhl-bos-nyi-2025-11-04,2025-10-09T15:31:15.63952Z,yes,no,1.0,0
KXNHLGAME-25NOV04BOSNYI-BOS,nhl-bos-nyi-2025-11-04,2025-10-09T15:31:15.63952Z,yes,yes,1.0,1
KXNHLGAME-25NOV26BOSNYI-NYI,nhl-bos-nyi-2025-11-26,2025-10-30T15:31:18.847195Z,yes,no,1.0,0
KXNHLGAME-25NOV26BOSNYI-BOS,nhl-bos-nyi-2025-11-26,2025-10-30T15:31:18.847195Z,yes,yes,1.0,1
KXNHLGAME-25OCT04NYRBOS-NYR,,,,no,,0
KXNHLGAME-25OCT04NYRBOS-BOS,,,,yes,,0
KXNHLGAME-25NOV28NYRBOS-NYR,,,,yes,,0
KXNHLGAME-25NOV28NYRBOS-BOS,,,,no,,0
KXNHLGAME-26JAN10NYRBOS-NYR,,,,no,,0
KXNHLGAME-26JAN10NYRBOS-BOS,,,,yes,,0
KXNHLGAME-26JAN26BOSNYR-NYR,nhl-bos-nyr-2026-01-26,2025-12-30T16:31:25.197937Z,no,yes,0.001,0
KXNHLGAME-26JAN26BOSNYR-BOS,nhl-bos-nyr-2026-01-26,2025-12-30T16:31:25.197937Z,no,no,0.001,1
KXNHLGAME-25OCT27BOSOTT-OTT,nhl-bos-ott-2025-10-27,2025-10-07T22:13:33.2677Z,yes,yes,1.0,1
KXNHLGAME-25OCT27BOSOTT-BOS,nhl-bos-ott-2025-10-27,2025-10-07T22:13:33.2677Z,yes,no,1.0,0
KXNHLGAME-25NOV06OTTBOS-OTT,,,,no,,0
KXNHLGAME-25NOV06OTTBOS-BOS,,,,yes,,0
KXNHLGAME-25NOV13BOSOTT-OTT,nhl-bos-ott-2025-11-13,2025-10-17T15:31:15.419341Z,yes,yes,1.0,1
