id,slug,startDate,lastTradePrice
821600,nhl-bos-edm-2025-12-31,2025-12-04T16:31:29.073369Z,1.0
834842,nhl-det-pit-2026-01-01,2025-12-05T16:31:15.638032Z,1.0
834845,nhl-nsh-sea-2026-01-01,2025-12-05T16:31:19.735186Z,1.0
865617,nhl-sea-van-2026-01-02,2025-12-06T16:31:29.671416Z,1.0
884904,nhl-buf-cbj-2026-01-03,2025-12-07T16:31:21.700397Z,1.0
884907,nhl-mon-stl-2026-01-03,2025-12-07T16:31:21.446371Z,1.0
884909,nhl-chi-wsh-2026-01-03,2025-12-07T16:31:24.073248Z,1.0
884915,nhl-bos-van-2026-01-03,2025-12-07T16:31:25.613677Z,1.0
896285,nhl-col-fla-2026-01-04,2025-12-08T16:39:06.558824Z,1.0
698663,nhl-sea-sj-2025-12-20,2025-11-23T16:31:26.814045Z,1.0
701027,nhl-col-min-2025-12-21,2025-11-24T16:31:11.270603Z,1.0
701030,nhl-mon-pit-2025-12-21,2025-11-24T16:31:10.751236Z,1.0
701031,nhl-buf-nj-2025-12-21,2025-11-24T16:31:11.528368Z,1.0
703497,nhl-stl-tb-2025-12-22,2025-11-25T16:31:22.578307Z,1.0
705762,nhl-pit-tor-2025-12-23,2025-11-26T16:31:28.26725Z,1.0
705763,nhl-nyr-wsh-2025-12-23,2025-11-26T16:31:28.527351Z,1.0
705764,nhl-buf-ott-2025-12-23,2025-11-26T16:31:30.358098Z,1.0
705765,nhl-nj-nyi-2025-12-23,2025-11-26T16:31:32.864498Z,1.0
705767,nhl-dal-det-2025-12-23,2025-11-26T16:31:30.873502Z,1.0
776037,nhl-min-wpg-2025-12-27,2025-11-30T16:31:30.424447Z,1.0
776039,nhl-ott-tor-2025-12-27,2025-11-30T16:31:32.405409Z,1.0
776042,nhl-bos-buf-2025-12-27,2025-11-30T16:31:35.239575Z,1.0
776043,nhl-nsh-stl-2025-12-27,2025-11-30T16:31:34.982676Z,1.0
776044,nhl-chi-dal-2025-12-27,2025-11-30T16:31:32.916533Z,1.0
776047,nhl-sj-van-2025-12-27,2025-11-30T16:31:36.654858Z,1.0
787943,nhl-mon-tb-2025-12-28,2025-12-01T16:31:13.496824Z,1.0
787947,nhl-phi-sea-2025-12-28,2025-12-01T16:31:27.240786Z,1.0
798672,nhl-edm-wpg-2025-12-29,2025-12-02T16:31:22.658829Z,1.0
798673,nhl-buf-stl-2025-12-29,2025-12-02T16:31:22.351451Z,1.0
685744,nhl-car-phi-2025-12-14,2025-11-16T16:31:17.268022Z,1.0
687259,nhl-bos-min-2025-12-14,2025-11-17T16:31:18.16363Z,1.0
691607,nhl-chi-tor-2025-12-16,2025-11-19T16:31:17.165317Z,1.0
691608,nhl-ana-cbj-2025-12-16,2025-11-19T16:31:17.677104Z,1.0
691609,nhl-edm-pit-2025-12-16,2025-11-19T16:31:18.188693Z,1.0
691615,nhl-col-sea-2025-12-16,2025-11-19T16:31:17.932158Z,1.0
693276,nhl-car-nsh-2025-12-17,2025-11-20T16:31:23.196032Z,1.0
695301,nhl-tor-wsh-2025-12-18,2025-11-21T16:31:27.644687Z,1.0
695305,nhl-chi-mon-2025-12-18,2025-11-21T16:31:29.612456Z,1.0
695308,nhl-nyr-stl-2025-12-18,2025-11-21T16:31:27.902302Z,1.0
695310,nhl-dal-sj-2025-12-18,2025-11-21T16:31:29.09621Z,1.0
697223,nhl-car-fla-2025-12-19,2025-11-22T16:31:15.497086Z,1.0
698652,nhl-det-wsh-2025-12-20,2025-11-23T16:31:23.603261Z,1.0
698654,nhl-edm-min-2025-12-20,2025-11-23T16:31:23.086349Z,1.0
698655,nhl-chi-ott-2025-12-20,2025-11-23T16:31:21.063296Z,1.0
698659,nhl-car-tb-2025-12-20,2025-11-23T16:31:23.860897Z,1.0
685737,nhl-ana-nj-2025-12-13,2025-11-16T16:31:17.526404Z,1.0
666566,nhl-dal-nyr-2025-12-02,2025-11-05T16:31:17.870497Z,1.0
666569,nhl-bos-det-2025-12-02,2025-11-05T16:31:21.58101Z,1.0
667942,nhl-dal-nj-2025-12-03,2025-11-06T16:31:19.831483Z,1.0
667943,nhl-buf-phi-2025-12-03,2025-11-06T16:31:20.351794Z,1.0
669527,nhl-pit-tb-2025-12-04,2025-11-07T16:31:10.335414Z,1.0
669528,nhl-nyr-ott-2025-12-04,2025-11-07T16:31:10.077606Z,1.0
669529,nhl-col-nyi-2025-12-04,2025-11-07T16:31:13.364315Z,1.0
672833,nhl-col-nyr-2025-12-06,2025-11-09T16:31:09.459878Z,1.0
672834,nhl-cbj-fla-2025-12-06,2025-11-09T16:31:09.717261Z,1.0
674482,nhl-col-phi-2025-12-07,2025-11-10T16:31:22.179781Z,1.0
655261,nhl-dal-edm-2025-11-25,2025-10-29T15:31:04.587995Z,1.0
656838,nhl-wpg-wsh-2025-11-26,2025-10-30T15:31:19.612304Z,1.0
656839,nhl-buf-pit-2025-11-26,2025-10-30T15:31:18.081039Z,1.0
