timestamp,kalshi_slug,poly_slug,chainlink_price,cf_price,price_diff,kalshi_target_price,poly_target_price,kalshi_resolution,poly_resolution,time_remaining,time_progress,kalshi_error,poly_error,oracle_gap,oracle_gap_abs,market_gap,abs_kalshi_error,abs_poly_error,abs_oracle_gap,abs_market_gap,same_direction,rel_kalshi_error,rel_poly_error,relative_disagreement,matching
2026-04-28T17:39:30.629191-04:00,KXBTC15M-26APR281745-45,btc-updown-15m-1777411800,76368.81,76364.25,4.559999999997672,76307.39,76301.36217652843,1,1,329.370809,570.629191,-56.86000000000058,-67.44782347156433,-4.559999999997672,4.559999999997672,6.02782347156608,56.86000000000058,67.44782347156433,4.559999999997672,6.02782347156608,1,-0.000744589254788734,-0.0008831854715500259,10.587823471563752,1
2026-04-28T17:40:17.111662-04:00,KXBTC15M-26APR281745-45,btc-updown-15m-1777411800,76365.29,76377.64,12.35000000000582,76307.39,76301.36217652843,1,1,282.888338,617.111662,-70.25,-63.92782347156026,12.35000000000582,12.35000000000582,6.02782347156608,70.25,63.92782347156026,12.35000000000582,6.02782347156608,1,-0.0009197718075604326,-0.0008371319413775587,6.322176528439741,1
2026-04-28T17:40:40.483557-04:00,KXBTC15M-26APR281745-45,btc-updown-15m-1777411800,76359.96,76378.29,18.329999999987194,76307.39,76301.36217652843,1,1,259.516443,640.483557,-70.89999999999418,-58.597823471573065,18.329999999987194,18.329999999987194,6.02782347156608,70.89999999999418,58.597823471573065,18.329999999987194,6.02782347156608,1,-0.0009282742517539236,-0.0007673893945409749,12.302176528421114,1
2026-04-28T17:41:03.702555-04:00,KXBTC15M-26APR281745-45,btc-updown-15m-1777411800,76368.13,76394.33,26.19999999999709,76307.39,76301.36217652843,1,1,236.297445,663.702555,-86.94000000000233,-66.76782347157132,26.19999999999709,26.19999999999709,6.02782347156608,86.94000000000233,66.76782347157132,26.19999999999709,6.02782347156608,1,-0.0011380425746256603,-0.0008742890977109341,20.17217652843101,1
2026-04-28T17:41:27.258039-04:00,KXBTC15M-26APR281745-45,btc-updown-15m-1777411800,76377.14,76378.33,1.1900000000023283,76307.39,76301.36217652843,1,1,212.741961,687.258039,-70.94000000000233,-75.77782347156608,1.1900000000023283,1.1900000000023283,6.02782347156608,70.94000000000233,75.77782347156608,1.1900000000023283,6.02782347156608,1,-0.0009287974743621958,-0.0009921531949424406,4.837823471563752,1
2026-04-28T17:41:50.575442-04:00,KXBTC15M-26APR281745-45,btc-updown-15m-1777411800,76380.39,76379.42,0.9700000000011642,76307.39,76301.36217652843,1,1,189.424558,710.5754420000001,-72.02999999999884,-79.02782347156608,-0.9700000000011642,0.9700000000011642,6.02782347156608,72.02999999999884,79.02782347156608,0.9700000000011642,6.02782347156608,1,-0.0009430550794965298,-0.001034661167238948,6.997823471567244,1
2026-04-28T17:42:37.430896-04:00,KXBTC15M-26APR281745-45,btc-updown-15m-1777411800,76378.34,76361.73,16.610000000000582,76307.39,76301.36217652843,1,1,142.569104,757.430896,-54.33999999999651,-76.97782347156317,-16.610000000000582,16.610000000000582,6.02782347156608,54.33999999999651,76.97782347156317,16.610000000000582,6.02782347156608,1,-0.0007116130030055174,-0.0010078488675135278,22.637823471566662,1
2026-04-28T17:43:01.025213-04:00,KXBTC15M-26APR281745-45,btc-updown-15m-1777411800,76377.37,76363.01,14.360000000000582,76307.39,76301.36217652843,1,1,118.974787,781.025213,-55.61999999999534,-76.007823471562,-14.360000000000582,14.360000000000582,6.02782347156608,55.61999999999534,76.007823471562,14.360000000000582,6.02782347156608,1,-0.0007283631171688406,-0.000995161570391361,20.387823471566662,1
2026-04-28T17:43:47.987473-04:00,KXBTC15M-26APR281745-45,btc-updown-15m-1777411800,76358.5,76332.46,26.0399999999936,76307.39,76301.36217652843,1,1,72.012527,827.987473,-25.070000000006985,-57.13782347156666,-26.039999999993597,26.039999999993597,6.02782347156608,25.070000000006985,57.13782347156666,26.039999999993597,6.02782347156608,1,-0.00032843170520126014,-0.000748283733593073,32.06782347155968,1
2026-04-28T17:44:19.027601-04:00,KXBTC15M-26APR281745-45,btc-updown-15m-1777411800,76358.2,76326.83,31.369999999995343,76307.39,76301.36217652843,1,1,40.972399,859.027601,-19.44000000000233,-56.83782347156375,-31.369999999995343,31.369999999995343,6.02782347156608,19.44000000000233,56.83782347156375,31.369999999995343,6.02782347156608,1,-0.0002546941881380679,-0.0007443578223630697,37.39782347156142,1
2026-04-28T17:44:42.430463-04:00,KXBTC15M-26APR281745-45,btc-updown-15m-1777411800,76358.78,76314.8,43.979999999995925,76307.39,76301.36217652843,1,1,17.569537,882.430463,-7.4100000000034925,-57.4178234715655,-43.979999999995925,43.979999999995925,6.02782347156608,7.4100000000034925,57.4178234715655,43.979999999995925,6.02782347156608,1,-9.709781064752175e-05,-0.0007519478895755733,50.007823471562006,1
2026-04-28T17:45:05.686756-04:00,KXBTC15M-26APR281800-00,btc-updown-15m-1777412700,76301.4,76312.83,11.430000000007569,76315.52,76314.15374,1,1,894.313244,5.686755999999946,2.6900000000023283,12.753740000000107,11.430000000007567,11.430000000007567,1.3662600000097882,2.6900000000023283,12.753740000000107,11.430000000007567,1.3662600000097882,1,3.524964281893789e-05,0.00016714948873808487,10.063739999997779,1
2026-04-28T17:46:17.063210-04:00,KXBTC15M-26APR281800-00,btc-updown-15m-1777412700,76313.39,76307.81,5.580000000001746,76315.52,76314.15374,1,1,822.93679,77.06321000000003,7.710000000006403,0.7637399999948684,-5.580000000001746,5.580000000001746,1.3662600000097882,7.710000000006403,0.7637399999948684,5.580000000001746,1.3662600000097882,1,0.00010103815061664596,1.0007942249648043e-05,6.946260000011534,1
2026-04-28T17:46:40.345919-04:00,KXBTC15M-26APR281800-00,btc-updown-15m-1777412700,76311.1,76302.83,8.270000000004075,76315.52,76314.15374,1,1,799.654081,100.34591899999998,12.690000000002328,3.0537399999884656,-8.270000000004075,8.270000000004075,1.3662600000097882,12.690000000002328,3.0537399999884656,8.270000000004075,1.3662600000097882,1,0.00016631100052255372,4.001698311239735e-05,9.636260000013863,1
2026-04-28T17:47:26.697342-04:00,KXBTC15M-26APR281800-00,btc-updown-15m-1777412700,76304.73,76313.46,8.730000000010477,76315.52,76314.15374,1,1,753.302658,146.69734200000005,2.0599999999976717,9.42373999999836,8.730000000010477,8.730000000010477,1.3662600000097882,2.0599999999976717,9.42373999999836,8.730000000010477,1.3662600000097882,1,2.6993927414609055e-05,0.00012350138713548113,7.363740000000689,1
2026-04-28T17:47:50.045661-04:00,KXBTC15M-26APR281800-00,btc-updown-15m-1777412700,76306.04,76314.39,8.35000000000582,76315.52,76314.15374,1,1,729.954339,170.045661,1.1300000000046566,8.11374000000069,8.35000000000582,8.35000000000582,1.3662600000097882,1.1300000000046566,8.11374000000069,8.35000000000582,1.3662600000097882,1,1.4807168084612307e-05,0.00010633155645346934,6.983739999996033,1
2026-04-28T17:48:37.086778-04:00,KXBTC15M-26APR281800-00,btc-updown-15m-1777412700,76308.07,76314.93,6.85999999998603,76315.52,76314.15374,1,1,682.913222,217.08677799999998,0.5900000000110595,6.083739999987301,6.85999999998603,6.85999999998603,1.3662600000097882,0.5900000000110595,6.083739999987301,6.85999999998603,1.3662600000097882,1,7.73112155132763e-06,7.972603683971172e-05,5.493739999976242,1
2026-04-28T17:49:00.324225-04:00,KXBTC15M-26APR281800-00,btc-updown-15m-1777412700,76309.24,76321.32,12.080000000001746,76315.52,76314.15374,1,1,659.675775,240.32422499999996,-5.80000000000291,4.913739999989048,12.080000000001746,12.080000000001746,1.3662600000097882,5.80000000000291,4.913739999989048,12.080000000001746,1.3662600000097882,0,-7.599449275776297e-05,6.439246413657176e-05,10.713739999991958,1
2026-04-28T17:49:24.423435-04:00,KXBTC15M-26APR281800-00,btc-updown-15m-1777412700,76309.04,76322.31,13.270000000004076,76315.52,76314.15374,1,1,635.576565,264.42343500000004,-6.789999999993597,5.113740000000689,13.270000000004075,13.270000000004075,1.3662600000097882,6.789999999993597,5.113740000000689,13.270000000004075,1.3662600000097882,0,-8.896481251672804e-05,6.70135543573958e-05,11.903739999994286,1
2026-04-28T17:50:11.487105-04:00,KXBTC15M-26APR281800-00,btc-updown-15m-1777412700,76317.7,76323.02,5.320000000006985,76315.52,76314.15374,1,1,588.512895,311.48710500000004,-7.5,-3.5462600000028033,5.320000000006985,5.320000000006985,1.3662600000097882,7.5,3.5462600000028033,5.320000000006985,1.3662600000097882,1,-9.82665518214557e-05,-4.646707120370246e-05,3.9537399999971967,1
